tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1900,07:25.5,39:06.1,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3225,Baldwin at Montgomery,40.7236589,-74.0641943,45464,Customer,1970,0
236,08:13.9,12:10.1,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,38392,Customer,1970,0
1047,11:01.4,28:28.5,3276,Marin Light Rail,40.71458404,-74.04281706,3678,Fairmount Ave,40.72572614,-74.07195926,54268,Customer,1970,0
491,15:09.7,23:20.8,3202,Newport PATH,40.7272235,-74.0337589,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42307,Customer,1970,0
193,21:05.1,24:18.3,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,44452,Customer,1970,0
448,46:23.4,53:51.5,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,48740,Customer,1970,0
228,47:05.5,50:54.4,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,44392,Customer,1970,0
764,48:04.0,00:48.2,3639,Harborside,40.7192517,-74.034234,3194,McGinley Square,40.72533993,-74.06762213,40440,Customer,1970,0
547,50:09.1,59:16.4,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,31242,Customer,1970,0
139,00:12.5,02:31.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42601,Customer,1970,0
193,11:10.1,14:23.7,3276,Marin Light Rail,40.71458404,-74.04281706,3273,Manila & 1st,40.72165072,-74.04288411,54259,Customer,1970,0
380,42:09.1,48:29.3,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,35358,Customer,1970,0
489,42:53.8,51:03.6,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,48740,Customer,1970,0
274,50:00.0,54:34.1,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958612,-74.04311746,42601,Customer,1970,0
1332,56:04.7,18:16.9,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,47258,Customer,1970,0
230,49:28.4,53:18.5,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,29814,Customer,1970,0
389,50:28.5,56:58.2,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,47019,Customer,1970,0
332,51:30.3,57:03.0,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,42177,Customer,1970,0
243,09:56.8,14:00.0,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,44721,Customer,1970,0
298,21:12.5,26:11.0,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,29983,Customer,1970,0
144,21:46.5,24:10.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42788,Customer,1970,0
1184,41:02.9,00:47.3,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,45278,Customer,1970,0
4917,02:06.8,24:04.3,3205,JC Medical Center,40.71653978,-74.04963791,3694,Jackson Square,40.71113,-74.0789,45278,Customer,1970,0
597,15:09.3,25:06.9,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,44283,Customer,1970,0
323,42:22.0,47:45.5,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,42601,Customer,1970,0
628,57:13.2,07:42.2,3678,Fairmount Ave,40.72572614,-74.07195926,3694,Jackson Square,40.71113,-74.0789,46541,Customer,1970,0
495,18:38.1,26:53.7,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,40465,Customer,1970,0
548,20:33.4,29:41.9,3678,Fairmount Ave,40.72572614,-74.07195926,3186,Grove St PATH,40.71958612,-74.04311746,54268,Customer,1970,0
140,10:28.7,12:48.7,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,29931,Customer,1970,0
333,30:27.6,36:01.3,3206,Hilltop,40.7311689,-74.0575736,3203,Hamilton Park,40.72759597,-74.04424731,27102,Customer,1970,0
3521,48:52.9,47:34.2,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,40465,Customer,1970,0
159,49:25.6,52:05.3,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,54268,Customer,1970,0
345,55:38.8,01:24.2,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,47258,Customer,1970,0
560,07:47.2,17:07.6,3210,Pershing Field,40.74267714,-74.05178863,3640,Journal Square,40.73367,-74.0625,48929,Customer,1970,0
873,08:23.5,22:56.7,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3202,Newport PATH,40.7272235,-74.0337589,44664,Customer,1970,0
622,09:35.9,19:58.4,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,41620,Customer,1970,0
